Ta,G,V,Tc
25,0,0.90602,22
25,0,0.9901,22
25,0,0.98598,22
24,0,1.0697,22
24,0,0.98355,22
24,0,1.1722,21
24,0,1.295,21
24,0,1.4582,21
23,0,1.4929,21
23,0,1.0749,21
23,0,1.1106,21
24,0,0.88467,21
23,0,0.70245,21
23,0,0.6219,21
23,0,0.87958,21
23,0,0.76597,21
23,0,1.0924,21
23,0,0.9192,21
24,0,1.0187,21
23,0,1.0905,21
23,0,1.1519,21
23,0,1.2308,21
23,0,0.9402,21
23,0,0.93087,21
23,0,0.91642,21
23,2,0.35692,21
23,9,0.52982,21
24,21,0.6624,21
25,59,0.46283,22
25,99,0.4991,24
30,145,0.64392,26
31,190,0.58895,27
30,232,1.0291,27
32,278,0.779,29
32,324,0.68603,31
32,369,0.81837,32
29,411,0.75022,34
28,450,0.53625,35
30,488,0.93093,39
28,529,0.83322,43
29,580,0.84657,46
29,608,1.0051,49
29,629,0.93673,50
30,673,1.2382,51
30,712,1.3089,54
30,736,1.5107,55
30,764,0.95013,55
30,776,1.1673,57
31,810,0.7419,58
31,830,0.98678,59
31,849,0.92065,60
31,862,0.8245,58
31,877,1.5812,58
32,897,1.7084,60
32,947,1.7928,61
33,824,2.506,64
32,971,1.7117,66
32,998,2.1639,64
33,981,2.528,67
32,827,2.6522,61
33,1007,2.2799,64
33,1052,2.4682,65
33,1054,2.822,66
33,999,2.5628,64
33,969,2.6893,65
33,945,2.5684,61
33,932,2.5762,60
33,894,2.3816,59
33,894,2.5613,59
33,865,2.1485,58
33,855,2.4883,57
33,809,2.5479,57
33,819,2.5875,56
32,794,2.5131,55
33,759,2.2637,55
32,731,2.5943,54
32,697,2.7106,54
32,667,3.1157,53
32,626,2.5434,51
32,601,2.7355,50
32,568,2.7293,49
32,532,2.7769,48
31,491,2.5825,47
31,448,2.5949,45
31,405,2.2685,43
31,369,2.0847,42
30,322,1.7716,40
30,273,1.7066,39
30,231,1.2682,37
30,174,1.2022,35
30,134,1.1799,34
29,95,1.3041,32
29,66,0.73885,31
29,29,0.78373,30
29,11,0.6473,28
28,1,0.8304,27
28,0,0.8511,27
28,0,0.51803,26
28,0,0.45683,26
28,0,0.57952,26
28,0,0.8611,26
28,0,1.0249,26
28,0,0.71328,26
28,0,0.79687,27
28,0,0.90037,27
27,0,0.92408,26
27,0,0.79845,26
28,0,0.84565,26
27,0,1.0234,26
27,0,0.66145,27
28,0,0.79308,27
28,0,0.55007,27
27,0,0.68635,27
27,0,0.62618,27
27,0,1.0068,26
27,0,0.86837,26
27,0,1.1051,26
27,0,1.2327,25
26,0,1.2296,25
26,0,1.3723,24
26,0,1.5432,24
26,0,1.2846,24
26,0,1.5219,24
26,0,1.3429,24
26,0,1.0036,24
26,0,0.5911,24
25,0,0.38098,24
25,0,0.51787,24
25,0,0.31225,24
25,0,0.34905,24
25,0,0.31943,24
25,0,0.54133,23
25,0,1.0176,23
25,0,1.1208,23
24,0,1.3343,23
25,0,0.40378,23
25,0,0.49542,23
25,0,0.81758,23
25,0,1.1591,23
25,0,0.74535,23
25,0,0.58042,23
25,0,0.68447,23
24,0,0.7529,23
24,0,0.63235,23
24,0,0.33855,23
24,0,0.43845,23
24,0,0.3231,22
24,0,0.73385,22
24,0,0.68107,22
24,0,0.59385,22
24,0,0.73505,22
24,0,0.62122,22
24,0,0.63917,22
